Entry,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Possible Ability,EVs (HP/Atk/Def/SpA/SpD/Spe),Level 100 stats,Lv 100 speed,Level 50 stats,Lv 50 Speed,Fixed IVs (Brains only)
132,Lombre,1,Quirky,Lax Incense,Water Pulse,Fake Out,Brick Break,Absorb,Swift Swim / Rain Dish,255/255/ 0 / 0 / 0 / 0 ,324/199/136/156/176/136,136,167/102/70/80/90/70,70,
133,Vibrava,1,Quirky,Cheri Berry,DragonBreath,Dig,Screech,Rock Tomb,Levitate,255/255/ 0 / 0 / 0 / 0 ,304/239/136/136/136/176,176,157/122/70/70/70/90,90,
134,Rhyhorn,1,Hardy,Focus Band,Rock Blast,Dig,Scary Face,Roar,Lightningrod / Rock Head,255/255/ 0 / 0 / 0 / 0 ,364/269/226/96/96/86,86,187/137/115/50/50/45,45,
135,Clamperl,1,Docile,DeepSeaScale,Dive,Toxic,Iron Defense,Double Team,Shell Armor,170/ 0 /170/ 0 /170/ 0 ,253/164/248/184/188/100,100,131/84/126/94/96/52,52,
136,Pidgeotto,1,Quirky,White Herb,Aerial Ace,Quick Attack,FeatherDance,Sand-Attack,Keen Eye,255/255/ 0 / 0 / 0 / 0 ,330/219/146/136/136/178,178,170/112/75/70/70/91,91,
137,Growlithe,1,Docile,Rawst Berry,Flame Wheel,Bite,Roar,Agility,Intimidate / Flash Fire,255/ 0 / 0 /255/ 0 / 0 ,314/176/126/239/136/156,156,162/90/65/122/70/80,80,
138,Farfetch'd,1,Relaxed,Stick,Slash,Knock Off,Swords Dance,Agility,Keen Eye / Inner Focus,170/ 0 /170/ 0 /170/ 0 ,287/166/206/152/202/140,140,148/85/106/78/103/72,72,
139,Omanyte,1,Quirky,Sitrus Berry,Mud Shot,Water Gun,AncientPower,Tickle,Swift Swim / Shell Armor,170/170/ 0 /170/ 0 / 0 ,253/158/236/258/146/106,106,131/81/120/131/75/55,55,
140,Kabuto,1,Hardy,Sitrus Berry,Mega Drain,AncientPower,Sand-Attack,Protect,Swift Swim / Battle Armor, 0 /255/ 0 /255/ 0 / 0 ,201/259/216/209/126/146,146,105/132/110/107/65/75,75,
141,Lileep,1,Docile,Lax Incense,AncientPower,Acid,Ingrain,Confuse Ray,Suction Cups,255/255/ 0 / 0 / 0 / 0 ,336/181/190/158/210/82,82,173/93/97/81/107/43,43,
142,Anorith,1,Hardy,Scope Lens,Metal Claw,Fury Cutter,AncientPower,Water Gun,Battle Armor,255/255/ 0 / 0 / 0 / 0 ,294/289/136/116/136/186,186,152/147/70/60/70/95,95,
143,Aipom,1,Relaxed,Silk Scarf,Fury Swipes,Sand-Attack,Baton Pass,Agility,Run Away / Pickup,255/255/ 0 / 0 / 0 / 0 ,314/239/160/116/146/185,185,162/122/83/60/75/94,94,
144,Elekid,1,Naive,Cheri Berry,ThunderPunch,Quick Attack,Swift,Light Screen,Static,255/ 0 / 0 /255/ 0 / 0 ,294/162/110/229/131/248,248,152/83/57/117/67/127,127,
145,Loudred,1,Relaxed,Focus Band,Stomp,Howl,Astonish,Supersonic,Soundproof,255/255/ 0 / 0 / 0 / 0 ,372/241/134/178/122/118,118,191/123/69/91/63/61,61,
146,Spinda,1,Relaxed,Sitrus Berry,Dizzy Punch,Teeter Dance,Psybeam,Faint Attack,Own Tempo,255/255/ 0 / 0 / 0 / 0 ,324/219/171/156/156/140,140,167/112/88/80/80/72,72,
147,Nidorina,1,Quirky,Focus Band,Double Kick,Bite,Aerial Ace,Flatter,Poison Point,255/255/ 0 / 0 / 0 / 0 ,344/223/170/146/146/148,148,177/114/87/75/75/76,76,
148,Nidorino,1,Quirky,Focus Band,Double Kick,Water Pulse,Mud-Slap,Flatter,Poison Point,255/255/ 0 / 0 / 0 / 0 ,326/243/150/146/146/166,166,168/124/77/75/75/85,85,
149,Flaaffy,1,Mild,Magnet,Shock Wave,Thunder Wave,Cotton Spore,Light Screen,Static,255/ 0 / 0 /255/ 0 / 0 ,344/146/131/284/156/126,126,177/75/67/145/80/65,65,
150,Magby,1,Docile,Lax Incense,Fire Punch,SmokeScreen,Confuse Ray,Smog,Flame Body,255/ 0 / 0 /255/ 0 / 0 ,294/186/110/239/146/202,202,152/95/57/122/75/103,103,
151,Nosepass,1,Sassy,Hard Stone,Rock Slide,Shock Wave,Thunder Wave,Sandstorm,Sturdy / Magnet Pull,255/ 0 / 0 / 0 /255/ 0 ,264/126/306/126/306/86,86,137/65/155/65/156/45,45,
152,Corsola,1,Impish,Sitrus Berry,BubbleBeam,Mirror Coat,Attract,AncientPower,Hustle / Natural Cure,170/ 0 /170/ 0 /170/ 0 ,293/146/272/149/248/106,106,151/75/139/76/126/55,55,
153,Mawile,1,Docile,BrightPowder,Crunch,Fake Tears,Iron Defense,Baton Pass,Hyper Cutter / Intimidate,255/ 0 / 0 /255/ 0 / 0 ,304/206/206/209/146/136,136,157/105/105/107/75/70,70,
154,Butterfree,1,Quirky,Pecha Berry,Silver Wind,Psybeam,Toxic,Whirlwind,Compoundeyes,255/ 0 / 0 /255/ 0 / 0 ,324/126/136/259/196/176,176,167/65/70/132/100/90,90,
155,Beedrill,1,Naughty,Scope Lens,Twineedle,Pursuit,Endeavor,Agility,Swarm, 0 /255/ 0 / 0 / 0 /255,271/284/116/126/176/249,249,140/145/60/65/90/127,127,
156,Poliwhirl,1,Quirky,Petaya Berry,Water Pulse,DoubleSlap,Icy Wind,Rain Dance,Water Absorb / Damp,255/ 0 / 0 /255/ 0 / 0 ,334/166/166/199/136/216,216,172/85/85/102/70/110,110,
157,Onix,1,Hardy,Sitrus Berry,Rock Slide,Bind,DragonBreath,Sandstorm,Rock Head / Sturdy,170/ 0 /170/ 0 /170/ 0 ,253/126/398/96/168/176,176,131/65/201/50/86/90,90,
158,Beautifly,1,Docile,Mental Herb,Silver Wind,Mega Drain,Attract,Whirlwind,Swarm,255/ 0 / 0 / 0 / 0 /255,324/176/136/216/136/229,229,167/90/70/110/70/117,117,
159,Dustox,1,Docile,SilverPowder,Silver Wind,Toxic,Psybeam,Whirlwind,Shield Dust,255/ 0 / 0 / 0 / 0 /255,324/136/176/136/216/229,229,167/70/90/70/110/117,117,
160,Ledian,1,Bashful,Focus Band,Comet Punch,Baton Pass,Swords Dance,Agility,Swarm / Early Bird, 0 /255/ 0 / 0 / 0 /255,251/169/136/146/256/269,269,130/87/70/75/130/137,137,
161,Ariados,1,Serious,Lax Incense,Signal Beam,Spider Web,Night Shade,Toxic,Swarm / Insomnia,255/255/ 0 / 0 / 0 / 0 ,344/279/176/156/156/116,116,177/142/90/80/80/60,60,
162,Yanma,1,Relaxed,Lax Incense,Signal Beam,Aerial Ace,Double Team,Detect,Speed Boost / Compoundeyes, 0 / 0 /255/ 0 /255/ 0 ,271/166/207/186/189/203,203,140/85/106/95/97/103,103,
163,Delcatty,1,Lonely,Sitrus Berry,Secret Power,Faint Attack,Double Team,Heal Bell,Cute Charm,255/255/ 0 / 0 / 0 / 0 ,344/251/149/146/146/176,176,177/128/76/75/75/90,90,
164,Sableye,1,Lonely,BlackGlasses,Faint Attack,Confuse Ray,Knock Off,Fake Out,Keen Eye,255/255/ 0 / 0 / 0 / 0 ,304/273/167/166/166/136,136,157/139/85/85/85/70,70,
165,Lickitung,1,Quirky,Sitrus Berry,Slam,Brick Break,Lick,Mud-Slap,Own Tempo / Oblivious,255/255/ 0 / 0 / 0 / 0 ,384/209/186/156/186/96,96,197/107/95/80/95/50,50,
166,Weepinbell,1,Quiet,Scope Lens,Razor Leaf,Acid,Wrap,Sweet Scent,Chlorophyll,255/ 0 / 0 /255/ 0 / 0 ,334/216/136/295/126/131,131,172/110/70/150/65/67,67,
167,Graveler,1,Adamant,Focus Band,Magnitude,Rock Throw,Defense Curl,Brick Break,Rock Head / Sturdy,170/170/ 0 / 0 /170/ 0 ,293/294/266/113/168/106,106,151/150/135/58/86/55,55,
168,Gloom,1,Quirky,Persim Berry,Petal Dance,Acid,Stun Spore,Moonlight,Chlorophyll,255/ 0 / 0 /255/ 0 / 0 ,324/166/176/269/186/116,116,167/85/90/137/95/60,60,
169,Porygon,1,Relaxed,Sitrus Berry,Psybeam,Icy Wind,Recycle,Agility,Trace,255/ 0 / 0 /255/ 0 / 0 ,334/156/193/269/186/104,104,172/80/99/137/95/54,54,
170,Kadabra,1,Impish,TwistedSpoon,Confusion,Role Play,Future Sight,Disable,Synchronize / Inner Focus,255/ 0 /255/ 0 / 0 / 0 ,284/106/174/248/176/246,246,147/55/90/126/90/125,125,
171,Wailmer,1,Docile,Lax Incense,Whirlpool,Roar,Defense Curl,Rollout,Water Veil / Oblivious, 0 / 0 /255/ 0 /255/ 0 ,401/176/169/176/169/156,156,205/90/87/90/87/80,80,
172,Roselia,1,Docile,Pecha Berry,Magical Leaf,Toxic,GrassWhistle,Cotton Spore,Natural Cure / Poison Point,255/ 0 /255/ 0 / 0 / 0 ,304/156/189/236/196/166,166,157/80/97/120/100/85,85,
173,Volbeat,1,Quirky,Liechi Berry,Silver Wind,Confuse Ray,Quick Attack,Helping Hand,Illuminate / Swarm, 0 /255/ 0 / 0 / 0 /255,271/245/146/130/186/269,269,140/125/75/67/95/137,137,
174,Illumise,1,Quirky,Liechi Berry,Silver Wind,Wish,Quick Attack,Helping Hand,Oblivious,255/255/ 0 / 0 / 0 / 0 ,334/193/146/182/186/206,206,172/99/75/93/95/105,105,
175,Ivysaur,1,Gentle,Persim Berry,Petal Dance,Growth,Sweet Scent,Fury Cutter,Overgrow,255/ 0 / 0 /255/ 0 / 0 ,324/160/145/259/215/156,156,167/82/75/132/110/80,80,
176,Charmeleon,1,Naughty,Scope Lens,Slash,Fire Spin,Swords Dance,Aerial Ace,Blaze,255/255/ 0 / 0 / 0 / 0 ,320/249/152/196/149/196,196,165/127/78/100/76/100,100,
177,Wartortle,1,Docile,Focus Band,Water Pulse,Bite,Mud-Slap,Yawn,Torrent,255/ 0 / 0 /255/ 0 / 0 ,322/162/196/229/196/152,152,166/83/100/117/100/78,78,
178,Parasect,1,Rash,Sitrus Berry,Slash,Psybeam,Stun Spore,Flash,Effect Spore, 0 / 0 /255/ 0 /255/ 0 ,261/226/259/171/233/96,96,135/115/132/88/118/50,50,
179,Machoke,1,Adamant,Focus Band,Low Kick,Rock Tomb,Foresight,Scary Face,Guts,255/ 0 / 0 / 0 /255/ 0 ,364/259/176/122/219/126,126,187/132/90/63/112/65,65,
180,Haunter,1,Rash,Persim Berry,Shadow Punch,Confuse Ray,Spite,Grudge,Levitate,255/255/ 0 / 0 / 0 / 0 ,294/199/126/292/131/226,226,152/102/65/149/67/115,115,
181,Bayleef,1,Docile,BrightPowder,Razor Leaf,Toxic,Safeguard,Light Screen,Overgrow,255/ 0 / 0 /255/ 0 / 0 ,324/160/196/225/196/156,156,167/82/100/115/100/80,80,
182,Quilava,1,Docile,Focus Band,Flame Wheel,Fury Swipes,Swift,SmokeScreen,Blaze,255/ 0 / 0 /255/ 0 / 0 ,320/164/152/259/166/196,196,165/84/78/132/85/100,100,
183,Croconaw,1,Docile,Scope Lens,Slash,Water Pulse,Bite,Scary Face,Torrent, 0 /255/ 0 /255/ 0 / 0 ,271/259/196/217/162/152,152,140/132/100/111/83/78,78,
184,Togetic,1,Relaxed,Lax Incense,Aerial Ace,Magical Leaf,Wish,Follow Me,Hustle / Serene Grace,255/ 0 /255/ 0 / 0 / 0 ,314/116/295/196/246/104,104,162/60/150/100/125/54,54,
185,Murkrow,1,Quirky,Lax Incense,Faint Attack,Fly,Torment,Taunt,Insomnia,170/ 0 /170/ 0 /170/ 0 ,303/206/162/206/162/218,218,156/105/83/105/83/111,111,
186,Wobbuffet,1,Careful,Focus Band,Counter,Mirror Coat,Charm,Safeguard,Shadow Tag,170/ 0 /170/ 0 /170/ 0 ,563/102/194/91/213/102,102,286/53/99/48/109/53,53,
187,Plusle,1,Docile,Petaya Berry,Spark,Fake Tears,Quick Attack,Helping Hand,Plus,255/ 0 /255/ 0 / 0 / 0 ,324/136/179/206/186/226,226,167/70/92/105/95/115,115,
188,Minun,1,Docile,Salac Berry,Spark,Charm,Encore,Helping Hand,Minus,255/ 0 /255/ 0 / 0 / 0 ,324/116/199/186/206/226,226,167/60/102/95/105/115,115,
189,Grovyle,1,Relaxed,BrightPowder,Fury Cutter,Endeavor,Brick Break,Double Team,Overgrow,255/255/ 0 / 0 / 0 / 0 ,304/229/138/206/166/203,203,157/117/72/105/85/103,103,
190,Combusken,1,Docile,Scope Lens,Ember,Double Kick,Quick Attack,Sand-Attack,Blaze, 0 /255/ 0 /255/ 0 / 0 ,261/269/156/269/156/146,146,135/137/80/137/80/75,75,
191,Marshtomp,1,Hardy,Focus Band,Mud Shot,Water Gun,Rock Tomb,Mud-Slap,Torrent, 0 /255/ 0 /255/ 0 / 0 ,281/269/176/219/176/136,136,145/137/90/112/90/70,70,
192,Ponyta,1,Hardy,Rawst Berry,Fire Spin,Bounce,Quick Attack,Tail Whip,Run Away / Flash Fire,255/255/ 0 / 0 / 0 / 0 ,304/269/146/166/166/216,216,157/137/75/85/85/110,110,
193,Azumarill,1,Docile,Sitrus Berry,BubbleBeam,Facade,Dig,Protect,Thick Fat / Huge Power, 0 / 0 /255/ 0 /255/ 0 ,341/136/259/136/259/136,136,175/70/132/70/132/70,70,
194,Sudowoodo,1,Hardy,Hard Stone,Rock Slide,Faint Attack,Sandstorm,Block,Sturdy / Rock Head,255/ 0 / 0 / 0 /255/ 0 ,344/236/266/96/229/96,96,177/120/135/50/117/50,50,
195,Magcargo,1,Gentle,Lax Incense,Rock Slide,Ember,Acid Armor,Sandstorm,Magma Armor / Flame Body,255/ 0 / 0 / 0 /255/ 0 ,304/136/248/196/284/96,96,157/70/126/100/145/50,50,
196,Pupitar,1,Hardy,Soft Sand,Dig,Bite,Scary Face,Sandstorm,Shed Skin,255/ 0 / 0 / 0 / 0 /255,344/204/176/166/176/201,201,177/104/90/85/90/103,103,
197,Sealeo,1,Quirky,Persim Berry,Ice Ball,Hail,Snore,Rest,Thick Fat,170/ 0 /170/ 0 /170/ 0 ,363/156/218/186/218/126,126,186/80/111/95/111/65,65,
198,Raticate,1,Naive,Silk Scarf,Endeavor,Pursuit,Scary Face,Quick Attack,Run Away / Guts,170/170/ 0 / 0 / 0 /170,293/240/156/136/158/299,299,151/122/80/70/81/152,152,
199,Masquerain,1,Relaxed,Cheri Berry,Silver Wind,Aerial Ace,Icy Wind,Stun Spore,Intimidate, 0 /255/255/ 0 / 0 / 0 ,281/219/245/196/200/140,140,145/112/125/100/102/72,72,
200,Furret,1,Serious,Liechi Berry,Slam,Protect,Helping Hand,Follow Me,Run Away / Keen Eye, 0 / 0 /255/ 0 /255/ 0 ,311/188/227/126/209/216,216,160/96/116/65/107/110,110,
201,Dunsparce,1,Docile,Lax Incense,Headbutt,Glare,Defense Curl,Rollout,Serene Grace / Run Away,255/255/ 0 / 0 / 0 / 0 ,404/239/176/166/166/126,126,207/122/90/85/85/65,65,
202,Dragonair,1,Docile,Cheri Berry,DragonBreath,Leer,Wrap,Safeguard,Shed Skin,255/ 0 / 0 / 0 /255/ 0 ,326/204/166/176/239/176,176,168/104/85/90/122/90,90,
203,Mightyena,1,Timid,Mental Herb,Bite,Poison Fang,Taunt,Roar,Intimidate, 0 /255/ 0 /255/ 0 / 0 ,281/251/176/219/156/193,193,145/127/90/112/80/99,99,
204,Linoone,1,Adamant,White Herb,Secret Power,Sand-Attack,Covet,Tickle,Pickup,255/255/ 0 / 0 / 0 / 0 ,360/262/158/122/158/236,236,185/134/81/63/81/120,120,
205,Castform,1,Hasty,Petaya Berry,Ember,Water Pulse,Shock Wave,Icy Wind,Forecast,255/ 0 / 0 /255/ 0 / 0 ,344/176/158/239/176/193,193,177/90/81/122/90/99,99,
206,Shelgon,1,Hardy,Cheri Berry,Headbutt,DragonBreath,Protect,Scary Face,Rock Head,170/170/ 0 / 0 /170/ 0 ,313/268/236/156/178/136,136,161/136/120/80/91/70,70,
207,Metang,1,Hardy,Focus Band,Metal Claw,Confusion,Pursuit,Scary Face,Clear Body, 0 /255/ 0 / 0 /255/ 0 ,261/249/236/146/259/136,136,135/127/120/75/132/70,70,
208,Wigglytuff,1,Relaxed,Silk Scarf,Sing,Disable,Wish,Secret Power,Cute Charm, 0 / 0 /255/ 0 /255/ 0 ,421/176/207/186/199/113,113,215/90/106/95/102/58,58,
209,Sunflora,1,Quirky,Persim Berry,Petal Dance,Ingrain,Leech Seed,Light Screen,Chlorophyll,255/ 0 /255/ 0 / 0 / 0 ,354/186/209/246/206/96,96,182/95/107/125/105/50,50,
210,Chimecho,1,Sassy,TwistedSpoon,Psywave,Take Down,Heal Bell,Safeguard,Levitate,255/ 0 / 0 /255/ 0 / 0 ,334/136/176/289/215/149,149,172/70/90/147/110/76,76,
211,Gligar,1,Hasty,Scope Lens,Metal Claw,Dig,Aerial Ace,Quick Attack,Hyper Cutter / Sand Veil,255/ 0 / 0 / 0 /255/ 0 ,334/186/221/106/229/226,226,172/95/112/55/117/116,116,
212,Qwilfish,1,Impish,Cheri Berry,BubbleBeam,Pin Missile,Spikes,Minimize,Poison Point / Swift Swim, 0 / 0 / 0 /255/255/ 0 ,271/226/204/188/209/206,206,140/115/105/96/107/105,105,
213,Sneasel,1,Relaxed,Persim Berry,Faint Attack,Fake Out,Icy Wind,Quick Attack,Inner Focus / Keen Eye,170/ 0 /170/ 0 /170/ 0 ,293/226/206/106/228/239,239,151/115/106/55/116/121,121,
214,Pelipper,1,Quiet,Sitrus Berry,Water Pulse,Aerial Ace,Stockpile,Swallow,Keen Eye,255/ 0 / 0 / 0 /255/ 0 ,324/136/236/226/239/149,149,167/70/120/116/122/76,76,
215,Swellow,1,Adamant,King's Rock,Fly,Endeavor,Facade,Quick Attack,Guts,255/ 0 / 0 / 0 /255/ 0 ,324/226/156/122/199/286,286,167/116/80/63/102/145,145,
216,Lairon,1,Sassy,Metal Coat,Metal Claw,Rock Tomb,Iron Defense,Protect,Sturdy / Rock Head,255/ 0 / 0 / 0 /255/ 0 ,324/216/316/136/218/104,104,167/110/160/70/112/54,54,
217,Tangela,1,Hardy,Lax Incense,Mega Drain,Slam,Toxic,Bind,Chlorophyll,255/ 0 / 0 / 0 /255/ 0 ,334/146/266/236/179/156,156,172/75/135/120/92/80,80,
218,Arbok,1,Adamant,Persim Berry,Poison Fang,Dig,Bite,Glare,Intimidate / Shed Skin,255/255/ 0 / 0 / 0 / 0 ,324/295/174/149/194/196,196,167/150/89/76/99/100,100,
219,Persian,1,Quirky,Silk Scarf,Fake Out,Slash,Torment,Swagger,Limber,170/ 0 /170/ 0 /170/ 0 ,313/176/198/166/208/266,266,161/90/101/85/106/135,135,
220,Seadra,1,Sassy,Mystic Water,Aurora Beam,SmokeScreen,Water Gun,Rain Dance,Poison Point,255/ 0 / 0 /255/ 0 / 0 ,314/166/226/289/138/185,185,162/85/115/147/72/94,94,
221,Kecleon,1,Naive,Focus Band,Secret Power,Psybeam,Magic Coat,Seismic Toss,Color Change,170/170/170/ 0 / 0 / 0 ,303/258/218/156/248/127,127,156/131/111/80/126/66,66,
222,Vigoroth,1,Lonely,Focus Band,Slash,Counter,Encore,Uproar,Vital Spirit,255/255/ 0 / 0 / 0 / 0 ,364/284/176/146/146/216,216,187/145/90/75/75/110,110,
223,Lunatone,1,Quiet,Sitrus Berry,Confusion,Cosmic Power,Light Screen,Sandstorm,Levitate,255/ 0 /255/ 0 / 0 / 0 ,344/146/229/248/206/158,158,177/75/117/127/105/81,81,
224,Solrock,1,Quiet,Sitrus Berry,Confusion,Fire Spin,Light Screen,Sandstorm,Levitate,255/ 0 / 0 / 0 /255/ 0 ,344/226/206/160/229/158,158,177/115/105/83/117/81,81,
225,Noctowl,1,Relaxed,Persim Berry,Confusion,Aerial Ace,Faint Attack,Reflect,Insomnia / Keen Eye,255/ 0 /255/ 0 / 0 / 0 ,404/136/218/188/228/158,158,207/70/112/96/116/81,81,
226,Sandslash,1,Adamant,Sitrus Berry,Crush Claw,Rock Slide,Swift,Sandstorm,Sand Veil,255/ 0 / 0 / 0 /255/ 0 ,354/259/256/113/209/166,166,182/132/130/58/107/85,85,
227,Venomoth,1,Quirky,Persim Berry,Silver Wind,Psybeam,Sleep Powder,Skill Swap,Shield Dust,255/ 0 / 0 / 0 / 0 /255,344/166/156/216/186/279,279,177/85/80/110/95/142,142,
228,Chansey,1,Relaxed,Sitrus Berry,Metronome,Refresh,Defense Curl,Minimize,Natural Cure / Serene Grace, 0 / 0 /255/ 0 /255/ 0 ,641/46/119/106/309/122,122,325/25/62/55/157/63,63,
229,Seaking,1,Docile,Sitrus Berry,Water Pulse,Psybeam,Swift,Agility,Swift Swim / Water Veil,255/ 0 / 0 / 0 /255/ 0 ,364/220/166/166/259/172,172,187/112/85/85/132/88,88,
230,Jumpluff,1,Docile,Lax Incense,Aerial Ace,Swagger,Psych Up,Synthesis,Chlorophyll,255/ 0 / 0 / 0 / 0 /255,354/146/176/146/206/319,319,182/75/90/75/105/162,162,
231,Piloswine,1,Quirky,Soft Sand,Dig,AncientPower,Hail,Light Screen,Oblivious,255/255/ 0 / 0 / 0 / 0 ,404/299/196/156/156/136,136,207/152/100/80/80/70,70,
232,Golbat,1,Relaxed,Scope Lens,Air Cutter,Confuse Ray,Toxic,Steel Wing,Inner Focus,255/255/ 0 / 0 / 0 / 0 ,354/259/193/166/186/194,194,182/132/99/85/95/99,99,
233,Primeape,1,Quirky,Scope Lens,Karate Chop,Counter,Swagger,Screech,Vital Spirit,170/ 0 /170/ 0 /170/ 0 ,313/246/198/156/218/226,226,161/125/101/80/111/115,115,
234,Hitmonlee,1,Adamant,Black Belt,Rolling Kick,Brick Break,Focus Energy,Facade,Limber,255/ 0 /255/ 0 / 0 / 0 ,304/303/205/95/256/210,210,157/154/105/49/130/107,107,
235,Hitmonchan,1,Adamant,King's Rock,Mach Punch,Sky Uppercut,Detect,Counter,Keen Eye,255/ 0 /255/ 0 / 0 / 0 ,304/270/257/95/256/188,188,157/138/131/49/130/96,96,
236,Girafarig,1,Quiet,Petaya Berry,Psybeam,Stomp,Wish,Skill Swap,Inner Focus / Early Bird,255/ 0 / 0 /255/ 0 / 0 ,344/196/166/306/166/185,185,177/100/85/156/85/94,94,
237,Hitmontop,1,Hardy,Liechi Berry,Triple Kick,Dig,Mach Punch,Quick Attack,Intimidate,255/255/ 0 / 0 / 0 / 0 ,304/289/226/106/256/176,176,157/147/115/55/130/90,90,
238,Banette,1,Sassy,Rawst Berry,Night Shade,Will-O-Wisp,Spite,Knock Off,Insomnia,170/ 0 /170/ 0 /170/ 0 ,311/266/208/202/224/149,149,160/135/106/103/114/76,76,
436,Aerodactyl,1,Adamant,King's Rock,AncientPower,DragonBreath,Aerial Ace,Roar,Rock Head / Pressure,170/170/ 0 / 0 / 0 /170,343/316/166/140/186/338,338,176/161/85/72/95/171,171,
240,Seviper,1,Hardy,Scope Lens,Poison Tail,Bite,Glare,Screech,Shed Skin,255/255/ 0 / 0 / 0 / 0 ,350/299/156/236/156/166,166,180/152/80/120/80/85,85,
241,Zangoose,1,Hardy,Persim Berry,Slash,Double Kick,Roar,Quick Attack,Immunity,255/255/ 0 / 0 / 0 / 0 ,350/329/156/156/156/216,216,180/167/80/80/80/110,110,
242,Camerupt,1,Quirky,Focus Band,Magnitude,Protect,Sandstorm,Rock Slide,Magma Armor,255/255/ 0 / 0 / 0 / 0 ,344/299/176/246/186/116,116,177/152/90/125/95/60,60,
243,Sharpedo,1,Adamant,Scope Lens,Slash,Bite,Water Pulse,Scary Face,Rough Skin, 0 /255/ 0 / 0 /255/ 0 ,281/372/116/203/179/226,226,145/189/60/103/92/115,115,
244,Tropius,1,Hardy,Sitrus Berry,Magical Leaf,Whirlwind,Aerial Ace,Steel Wing,Chlorophyll,255/255/ 0 / 0 / 0 / 0 ,402/235/202/180/210/138,138,206/120/103/92/107/71,71,
245,Magneton,1,Lonely,Cheri Berry,Shock Wave,SonicBoom,Thunder Wave,Supersonic,Magnet Pull / Sturdy, 0 / 0 / 0 /255/ 0 /255,241/171/203/339/176/239,239,125/88/103/172/90/122,122,
246,Mantine,1,Docile,Mystic Water,BubbleBeam,Aerial Ace,Rain Dance,Icy Wind,Swift Swim / Water Absorb,255/ 0 / 0 / 0 /255/ 0 ,334/116/176/196/379/176,176,172/60/90/100/192/90,90,
247,Stantler,1,Gentle,TwistedSpoon,Extrasensory,Confuse Ray,Stomp,Sand-Attack,Intimidate,255/ 0 / 0 /255/ 0 / 0 ,350/226/144/269/182/206,206,180/115/74/137/94/105,105,
248,Absol,1,Adamant,BrightPowder,Bite,Razor Wind,Future Sight,Quick Attack,Pressure,255/255/ 0 / 0 / 0 / 0 ,334/394/156/167/156/186,186,172/200/80/85/80/95,95,
249,Swalot,1,Quirky,Lax Incense,Stockpile,Swallow,Spit Up,Sludge,Liquid Ooze / Sticky Hold, 0 / 0 /255/ 0 /255/ 0 ,341/182/265/182/265/146,146,175/93/135/93/135/75,75,
250,Crawdaunt,1,Adamant,Persim Berry,BubbleBeam,ViceGrip,Knock Off,Protect,Hyper Cutter / Shell Armor,170/ 0 /170/ 0 /170/ 0 ,309/303/248/194/188/146,146,159/154/126/99/96/75,75,
251,Pidgeot,1,Hardy,Sharp Beak,Aerial Ace,FeatherDance,Mud-Slap,Faint Attack,Keen Eye,255/255/ 0 / 0 / 0 / 0 ,370/259/186/176/176/218,218,190/132/95/90/90/111,111,
252,Grumpig,1,Relaxed,Petaya Berry,Psybeam,Confuse Ray,Future Sight,Magic Coat,Thick Fat / Own Tempo,255/ 0 / 0 /255/ 0 / 0 ,364/126/182/279/256/176,176,187/65/94/142/130/90,90,
253,Torkoal,1,Relaxed,Sitrus Berry,Ember,Fire Spin,SmokeScreen,Amnesia,White Smoke,255/ 0 / 0 / 0 /255/ 0 ,344/206/347/206/239/68,68,177/105/176/105/122/36,36,
254,Kingler,1,Hardy,Scope Lens,Crabhammer,Metal Claw,Mud Shot,Protect,Hyper Cutter / Shell Armor,255/ 0 / 0 / 0 /255/ 0 ,314/296/266/136/199/186,186,162/150/135/70/102/95,95,
255,Cacturne,1,Hasty,Scope Lens,Needle Arm,Faint Attack,Acid,Mega Punch,Sand Veil,255/ 0 / 0 / 0 / 0 /255,344/266/140/266/156/229,229,177/135/72/135/80/117,117,
256,Bellossom,1,Quiet,Persim Berry,Petal Dance,Safeguard,Sunny Day,Synthesis,Chlorophyll,255/ 0 / 0 /255/ 0 / 0 ,354/196/206/306/236/122,122,182/100/105/156/120/63,63,
257,Octillery,1,Hardy,Shell Bell,Octazooka,Aurora Beam,Psybeam,Rock Blast,Suction Cups, 0 /255/ 0 /255/ 0 / 0 ,291/309/186/309/186/126,126,150/157/95/157/95/65,65,
258,Huntail,1,Quiet,Persim Berry,Whirlpool,Scary Face,Mud-Slap,Bite,Swift Swim,255/255/ 0 / 0 / 0 / 0 ,314/307/246/246/186/126,126,162/156/125/125/95/65,65,
259,Gorebyss,1,Brave,Persim Berry,Whirlpool,Amnesia,Icy Wind,Confusion,Swift Swim,255/ 0 / 0 /255/ 0 / 0 ,314/224/246/327/186/126,126,162/114/125/166/95/65,65,
260,Relicanth,1,Sassy,Liechi Berry,AncientPower,Water Pulse,Harden,Amnesia,Swift Swim / Rock Head,170/ 0 / 0 /170/170/ 0 ,383/216/296/168/228/131,131,196/110/150/86/117/67,67,
261,Omastar,1,Quirky,Shell Bell,BubbleBeam,Spike Cannon,Tickle,AncientPower,Swift Swim / Shell Armor,255/ 0 / 0 /255/ 0 / 0 ,344/156/286/329/176/146,146,177/80/145/167/90/75,75,
